recno,C,Seq,RAJ2000,DEJ2000,logPB,WAV,errPos,Angle,FB,e_FB,E_FB,SB,e_SB,E_SB,HB,e_HB,E_HB,Ph,CPCat,CPoff,CPNote,RAWdeg,DEWdeg,RmagW,RAGSdeg,DEGSdeg,zmagGS,RAGdeg,DEGdeg,zmagG,RACdeg,DECdeg,F125Wmag,RATdeg,DETdeg,KsmagT,RASdeg,DESdeg,3_6mag,RAVdeg,DEVdeg,VLAmag,zspec,q_zspec,r_zspec,zL10,zR11,zH14,zS14,zS15,zS16,zF,r_zF,e_zF,E_zF,FExp,SExp,HExp,BR,e_BR,E_BR,Gamma,e_Gamma,E_Gamma,FFB,FSB,FHB,LX,NH,LXc,OType,f_X11ID,X11ID,f_X16ID,X16ID,R13ID,CCat,zCat
715,M,715,53.158443,-27.773968,,-8,0.14,2.89,973.5,33.4,34.5,648.3,26.7,27.8,327.0,20.3,21.5,,CANDELS,0.04,,,,,53.15845,-27.773966,26.23,,,,53.158449,-27.773957,24.24,53.158421,-27.773973,22.27,53.158433,-27.773984,21.68,,,,,,,3.31,2.06,2.12,2.17,2.33,2.1,2.115,H14,0.33,0.09,5900000.0,5910000.0,5860000.0,0.508,0.037,0.038,1.71,0.07,0.08,1.82e-15,7.74e-16,1.04e-15,inf,6.39e+21,inf,AGN,,522,,543,223,8,5
694,M,694,53.153807,-27.774677,-2.2,-5,0.65,2.68,21.7,-1.0,-1.0,8.0,3.9,5.1,11.4,-1.0,-1.0,,CANDELS,0.39,,,,,53.153794,-27.774571,24.7,53.153793,-27.774589,24.53,53.153793,-27.774571,23.01,53.153778,-27.774574,21.82,53.153813,-27.774574,21.37,,,,1.384,Insecure,19,,1.27,1.18,1.32,1.36,1.34,1.384,zSpec,,,6070000.0,6080000.0,6030000.0,0.414,-1.0,-1.0,1.91,-1.0,-1.0,-3.72e-17,9.48e-18,-3.42e-17,inf,0.0,inf,Galaxy,,,,,,6,2
680,M,680,53.150612,-27.774467,-2.6,-5,0.52,2.57,15.3,6.3,7.5,8.5,3.9,5.1,15.5,-1.0,-1.0,,CANDELS,0.64,,53.150766,-27.774328,25.58,53.150741,-27.774311,24.71,,,,53.150737,-27.774327,23.74,53.150745,-27.774336,22.54,53.150723,-27.774344,21.94,,,,,,,,2.06,2.32,2.32,2.35,2.25,2.318,H14,0.09,0.05,6090000.0,6100000.0,6060000.0,0.867,-1.0,-1.0,1.19,-1.0,-1.0,3.32e-17,9.26e-18,-5.21e-17,inf,8.62e+22,inf,AGN,,501,,,,4,3
661,M,661,53.147894,-27.774179,-5.1,-6,0.53,2.49,23.6,-1.0,-1.0,13.6,4.5,5.7,7.6,-1.0,-1.0,,CANDELS,0.59,,53.147936,-27.773977,22.15,53.147918,-27.773951,21.15,,,,53.147842,-27.774022,21.44,53.147923,-27.773945,19.87,53.147963,-27.773924,20.03,,,,1.088,Secure,5,,1.06,1.18,1.31,1.08,1.07,1.088,zSpec,,,6020000.0,6030000.0,5990000.0,0.195,-1.0,-1.0,2.66,-1.0,-1.0,-3.65e-17,1.83e-17,-2.08e-17,inf,0.0,inf,Galaxy,,488,,,,8,6
679,M,679,53.150584,-27.771271,-11.6,-8,0.39,2.72,40.5,8.3,9.5,24.9,5.7,6.9,15.7,6.1,7.4,,CANDELS,0.34,,,,,,,,,,,53.150522,-27.771194,23.44,,,,,,,,,,0.218,Secure,15,,0.25,0.22,0.22,0.19,,0.218,zSpec,,,5990000.0,6010000.0,5960000.0,0.633,0.239,0.4,1.5,0.48,0.47,7.9e-17,2.83e-17,5.07e-17,inf,2.53e+21,inf,AGN,,497,,,,4,4
698,M,698,53.155056,-27.768707,-5.3,-7,0.52,2.99,18.4,7.0,8.2,16.5,5.1,6.3,10.7,-1.0,-1.0,,CANDELS,0.73,,53.154972,-27.76891,23.18,53.154973,-27.76889,20.91,53.154969,-27.768916,21.04,53.154964,-27.768892,19.85,53.154949,-27.768908,18.7,53.154953,-27.768924,18.7,,,,1.096,Secure,8,,1.11,1.11,1.09,1.09,1.09,1.096,zSpec,,,6030000.0,6050000.0,6000000.0,0.307,-1.0,-1.0,2.21,-1.0,-1.0,2.99e-17,2.07e-17,-3.1e-17,inf,0.0,inf,Galaxy,,508,,,,3,2
482,M,482,53.110601,-27.800793,-3.8,-5,0.4,0.5,13.5,5.0,6.3,8.4,3.4,4.7,12.0,-1.0,-1.0,,CANDELS,1.03,,53.110799,-27.800619,24.27,53.110814,-27.800637,24.24,53.11084,-27.800674,24.62,53.110811,-27.800574,23.46,53.110786,-27.800564,22.55,53.110843,-27.800604,22.38,,,,,,,,2.73,2.63,2.64,2.71,2.72,2.634,H14,0.04,0.03,4920000.0,4930000.0,4900000.0,0.699,-1.0,-1.0,1.41,-1.0,-1.0,3.41e-17,1.18e-17,-4.9e-17,inf,5.75e+22,inf,Galaxy,,,,,,7,4
1031,S,23,53.111019,-27.79956,-1.7,-5,0.55,0.53,8.2,-1.0,-1.0,5.3,2.8,4.1,3.7,-1.0,-1.0,,TENIS,0.34,,53.111092,-27.799647,22.57,53.111111,-27.799638,21.81,53.111099,-27.799636,21.74,53.111106,-27.799635,21.47,53.111103,-27.799618,20.47,53.111153,-27.799654,20.71,,,,0.629,Secure,5,,0.64,0.63,0.64,0.63,0.6,0.629,zSpec,,,4700000.0,4710000.0,4680000.0,0.227,-1.0,-1.0,2.51,-1.0,-1.0,-1.68e-17,9.17e-18,-1.36e-17,inf,0.0,inf,Galaxy,,,,,,4,2
470,M,470,53.108364,-27.797645,-10.9,-8,0.36,0.71,20.5,5.8,7.1,18.9,4.8,6.1,7.6,-1.0,-1.0,,CANDELS,0.11,,53.108294,-27.797644,25.54,53.108349,-27.797634,24.56,,,,53.108332,-27.797634,23.48,53.108246,-27.79759,21.77,53.108293,-27.797634,21.37,,,,1.897,Insecure,25,2.05,1.98,1.9,1.86,1.95,1.84,1.897,zSpec,,,5180000.0,5190000.0,5150000.0,0.134,-1.0,-1.0,3.0,-1.0,-1.0,3.68e-17,3.17e-17,-2.3e-17,inf,0.0,inf,AGN,,360,,,,5,5
478,M,478,53.110078,-27.791752,-3.2,-5,0.42,0.95,13.9,5.4,6.7,7.5,-1.0,-1.0,10.9,4.6,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5060000.0,5080000.0,5030000.0,3.103,-1.0,-1.0,-0.04,-1.0,-1.0,5.43e-17,-8.93e-18,5.35e-17,,-1.0,,AGN,,,,,,0,0
537,M,537,53.121707,-27.785503,-9.7,-8,0.38,1.25,23.3,6.3,7.5,18.5,4.8,6.1,11.4,-1.0,-1.0,,CANDELS,0.29,,53.121704,-27.785424,22.12,53.121729,-27.785421,20.63,53.121714,-27.785427,20.74,53.121723,-27.785424,19.95,53.121716,-27.785416,18.95,53.121763,-27.785454,19.28,,,,0.668,Secure,2,0.68,0.69,0.68,0.66,0.66,0.67,0.668,zSpec,,,5600000.0,5610000.0,5570000.0,0.279,-1.0,-1.0,2.3,-1.0,-1.0,3.98e-17,2.51e-17,-3.52e-17,inf,0.0,inf,Galaxy,,401,,,,3,3
522,M,522,53.118779,-27.782784,-9.8,-8,0.37,1.4,25.5,6.5,7.7,18.5,4.8,6.1,14.7,-1.0,-1.0,,CANDELS,0.07,,,,,53.118707,-27.782755,25.81,,,,53.118761,-27.782774,23.82,53.118748,-27.782785,21.99,53.118783,-27.782834,21.27,53.11878,-27.782755,19.11,2.309,Secure,19,,1.91,2.08,2.27,2.45,2.38,2.309,zSpec,,,5610000.0,5620000.0,5580000.0,0.41,-1.0,-1.0,1.92,-1.0,-1.0,4.71e-17,2.39e-17,-4.78e-17,inf,0.0,inf,AGN,,,,,,5,3
510,M,510,53.116194,-27.780235,-4.1,-5,0.44,1.55,16.5,5.6,6.9,9.9,3.7,5.0,14.6,-1.0,-1.0,,CANDELS,0.41,,,,,53.116089,-27.780214,27.12,,,,53.116069,-27.780213,25.88,,,,53.116123,-27.780364,25.13,,,,,,,,2.14,1.84,1.85,1.78,1.7,1.836,H14,0.29,0.13,5460000.0,5480000.0,5430000.0,0.78,-1.0,-1.0,1.3,-1.0,-1.0,3.81e-17,1.21e-17,-5.36e-17,inf,4.14e+22,inf,AGN,,,,,,4,4
516,M,516,53.117307,-27.780128,-5.2,-5,0.46,1.56,14.1,5.4,6.6,11.9,4.0,5.3,8.9,-1.0,-1.0,,CANDELS,0.18,,53.117365,-27.780129,25.23,53.117359,-27.780097,24.5,53.117337,-27.780072,25.13,53.117349,-27.780093,23.58,53.117359,-27.780087,22.84,53.117373,-27.780114,22.55,,,,1.909,Secure,19,,2.06,1.89,1.95,1.9,1.9,1.909,zSpec,,,5570000.0,5590000.0,5540000.0,0.22,-1.0,-1.0,2.54,-1.0,-1.0,2.4e-17,1.71e-17,-2.68e-17,inf,0.0,inf,Galaxy,,,,,,3,2
513,M,513,53.116653,-27.777586,-17.7,-8,0.32,1.71,46.4,8.2,9.4,23.5,5.4,6.6,23.0,6.2,7.6,,CANDELS,0.16,,53.116595,-27.777505,20.17,53.11662,-27.77755,19.36,53.116602,-27.777525,19.37,53.116619,-27.777554,18.79,53.116623,-27.777534,17.69,53.116663,-27.777574,18.64,53.116613,-27.777589,18.89,0.249,Secure,6,0.28,0.25,0.25,0.35,0.33,0.27,0.249,zSpec,,,5650000.0,5670000.0,5630000.0,0.983,0.301,0.421,1.07,0.35,0.36,1.12e-16,2.72e-17,8.43e-17,inf,8.83e+21,inf,Galaxy,,385,,,,5,5
440,M,440,53.103487,-27.785117,-34.7,-8,0.29,1.47,59.6,8.9,10.1,46.7,7.4,8.5,13.0,5.2,6.6,,CANDELS,0.33,,53.103541,-27.785093,20.96,53.103581,-27.78509,20.3,53.103581,-27.785092,20.34,53.103586,-27.785088,20.02,53.103584,-27.785072,19.3,53.103633,-27.785114,19.98,,,,0.363,Secure,2,0.38,0.35,0.34,0.36,0.39,0.37,0.363,zSpec,,,5940000.0,5950000.0,5920000.0,0.281,0.099,0.17,2.29,0.47,0.43,9.76e-17,5.98e-17,3.77e-17,inf,0.0,inf,Galaxy,,338,,,,4,3
378,M,378,53.087643,-27.785455,-5.3,-5,0.5,2.02,21.6,-1.0,-1.0,13.2,4.3,5.6,6.4,-1.0,-1.0,,CANDELS,0.44,,53.087688,-27.785336,23.11,53.087719,-27.785347,22.08,53.087696,-27.785319,22.01,53.087717,-27.785353,21.6,53.087723,-27.785328,21.07,,,,,,,0.738,Secure,16,,0.69,0.74,0.71,0.64,0.7,0.738,zSpec,,,6010000.0,6020000.0,5990000.0,0.15,-1.0,-1.0,2.91,-1.0,-1.0,-3.36e-17,1.88e-17,-1.69e-17,inf,0.0,inf,Galaxy,,,,,,2,3
374,M,374,53.087199,-27.784781,-6.7,-8,0.44,2.07,20.3,6.4,7.6,15.4,4.6,5.8,12.3,-1.0,-1.0,,CANDELS,0.26,,53.087101,-27.784845,20.96,53.087148,-27.784828,19.99,53.087132,-27.784803,19.95,53.087161,-27.784844,19.59,53.08717,-27.784815,18.51,53.087193,-27.784874,18.93,53.087238,-27.784922,19.4,0.668,Secure,5,,0.64,0.67,0.65,0.63,0.64,0.668,zSpec,,,6040000.0,6050000.0,6020000.0,0.39,-1.0,-1.0,1.97,-1.0,-1.0,3.43e-17,1.86e-17,-3.69e-17,inf,0.0,inf,Galaxy,,289,,,,5,2
386,M,386,53.090739,-27.782439,-37.8,-8,0.27,2.02,86.5,11.0,12.3,10.6,4.0,5.3,76.0,10.2,11.5,,CANDELS,0.19,,,,,53.090756,-27.782342,26.25,,,,53.090739,-27.782386,24.01,53.090771,-27.782337,22.7,53.090883,-27.782394,21.23,,,,3.256,Insecure,10,1.56,2.38,1.13,1.98,1.86,1.92,1.126,H14,0.03,0.36,6150000.0,6160000.0,6130000.0,7.212,2.556,3.445,-0.83,0.36,0.41,3.6e-16,1e-17,3.5e-16,inf,3e+23,inf,AGN,,296,,,,3,3
388,M,388,53.091593,-27.782198,-20.1,-8,0.31,2.0,57.1,9.4,10.7,13.2,-1.0,-1.0,49.9,8.6,9.9,,CANDELS,0.1,,53.091599,-27.782199,21.9,53.091616,-27.782183,20.43,53.091581,-27.78213,20.49,53.091603,-27.782173,19.82,53.091606,-27.782146,18.75,53.091653,-27.782204,19.1,,,,0.668,Secure,2,0.72,0.69,0.68,0.66,0.68,0.67,0.668,zSpec,,,6130000.0,6130000.0,6100000.0,6.552,-1.0,-1.0,-0.74,-1.0,-1.0,2.3e-16,-1.27e-17,2.28e-16,inf,1.44e+23,inf,AGN,,297,,,,4,3
