name,ra,dec,e_pos_raw,field,cat,F,e_pos_1sig,e_pos_95,tract,patch,DP1_flag,obj_flag,dia_flag,objectId,n_obj_inner,n_obj_outer,r_inner,r_outer,area_inner_asec2,area_outer_asec2,area_inner_deg2,area_outer_deg2,N_deg2,N_asec2
4XMM J033348.3-275404,53.451570816485,-27.901233611641,1.904549241065979,ECDFS,4XMMDR14,4.580418330187671e-15,2.0413175145401703,4.000982328498734,5063,23,True,True,True,6.112550039228502e+17,8,46,8.165270058160681,20.0,209.45513172315034,1256.6370659774598,1.616166139839123e-05,9.696273657233487e-05,470290.77172792447,0.03628786818888307
4XMM J033250.1-274427,53.209037166328,-27.741061482644,1.9047271013259888,ECDFS,4XMMDR14,2.1959623501516907e-15,2.041508147187555,4.001355968487608,5063,34,True,True,False,6.112557598370726e+17,8,48,8.16603258875022,20.0,209.4942478436003,1256.6370659774598,1.6164679617561754e-05,9.696273657233487e-05,495061.4099840307,0.038199182869138176
4XMM J033325.2-274040,53.355172838182,-27.677956543822,1.9053802490234373,ECDFS,4XMMDR14,1.84511262131125e-15,2.0422081983102225,4.002728068688036,5063,43,True,False,False,,4,32,8.16883279324089,20.0,209.63795061690737,1256.6370659774598,1.617576779451446e-05,9.696273657233487e-05,346590.5507236612,0.02674309804966522
4XMM J033129.7-275533,52.874165692196,-27.925891081375,1.9054170846939087,ECDFS,4XMMDR14,4.616303304514572e-15,2.042247679200331,4.002805451232648,5063,26,True,True,True,6.112552100812732e+17,5,34,8.168990716801323,20.0,209.64605281788067,1256.6370659774598,1.6176392964342648e-05,9.696273657233487e-05,358971.56257893844,0.027698423038498336
4XMM J033146.1-283020,52.942276979898,-28.505677090589,1.9059263467788696,ECDFS,4XMMDR14,1.1653495381950662e-14,2.0427935120888203,4.003875283694088,4848,80,True,True,False,6.097814521831754e+17,4,42,8.171174048355281,20.0,209.7581184254824,1256.6370659774598,1.6185040001966236e-05,9.696273657233487e-05,470426.882832648,0.036298370588938894
4XMM J033124.3-281842,52.85139466718601,-28.311859632149005,1.9071117639541624,ECDFS,4XMMDR14,4.601296845304541e-15,2.0440640556850616,4.00636554914272,4848,91,True,True,True,6.097822080974316e+17,5,31,8.176256222740246,20.0,210.0191398817475,1256.6370659774598,1.6205180546431136e-05,9.696273657233487e-05,321951.2981752476,0.024841921155497503
4XMM J033139.5-282832,52.914609182073,-28.475611583435,1.908642292022705,ECDFS,4XMMDR14,4.616951708235695e-15,2.0457044930575616,4.009580806392821,4848,80,True,True,True,6.097814521831884e+17,8,38,8.182817972230247,20.0,210.35637544826713,1256.6370659774598,1.6231201809279873e-05,9.696273657233487e-05,371602.0027124374,0.028672994036453507
4XMM J033059.9-283457,52.749875222839,-28.582637098257,1.910489797592163,ECDFS,4XMMDR14,5.942046768667652e-16,2.047684670516788,4.013461954212904,4848,71,True,False,False,,1,19,8.190738682067153,20.0,210.76380041149707,1256.6370659774598,1.626263892064021e-05,9.696273657233487e-05,223048.05723642153,0.017210498243551045
4XMM J033226.5-272950,53.11064898288039,-27.497449320662984,1.910640239715576,ECDFS,4XMMDR14,3.996724012942515e-13,2.047845916093865,4.013777995543975,5063,54,True,True,False,6.112571342266115e+17,5,24,8.19138366437546,20.0,210.7969808535783,1256.6370659774598,1.62651991399366e-05,9.696273657233487e-05,235447.0855559456,0.018167213391662475
4XMM J033314.2-274608,53.309350999207,-27.769073987434,1.914227843284607,ECDFS,4XMMDR14,2.5067376797081094e-15,2.051691150358636,4.021314654702925,5063,33,True,True,True,6.112556911176104e+17,7,43,8.206764601434545,20.0,211.5893642374125,1256.6370659774598,1.6326339833133682e-05,9.696273657233487e-05,446448.52021889377,0.0344481882884949
4XMM J033151.9-273905,52.966616780354,-27.651632318495,1.9144411087036133,ECDFS,4XMMDR14,6.201251534845853e-14,2.0519197306576777,4.021762672089048,5063,45,True,True,False,6.112565157513283e+17,11,46,8.207678922630711,20.0,211.6365232020521,1256.6370659774598,1.6329978642133652e-05,9.696273657233487e-05,434066.76019065763,0.0334928055702668
4XMM J033039.7-275658,52.665420751681,-27.949690035542,1.9145991802215576,ECDFS,4XMMDR14,1.40003704159411e-13,2.0520891535064925,4.022094740872725,5063,27,True,True,True,6.112552788007483e+17,5,21,8.20835661402597,20.0,211.6714546692521,1256.6370659774598,1.633267397139291e-05,9.696273657233487e-05,198437.15214743093,0.015311508653351154
4XMM J033156.5-274834,52.985596059184,-27.809553174051,1.917810320854187,ECDFS,4XMMDR14,3.682728577522826e-15,2.055530890518957,4.028840545417156,5063,35,True,True,False,6.11255828556561e+17,7,51,8.222123562075828,20.0,212.38207408355703,1256.6370659774598,1.6387505716323846e-05,9.696273657233487e-05,546073.520765067,0.04213530252816875
4XMM J033239.1-275710,53.16326610720401,-27.952872022778003,1.9188605546951287,ECDFS,4XMMDR14,1.5336894894271008e-13,2.0566565430815964,4.031046824439929,5063,24,True,True,True,6.112550726423164e+17,5,39,8.226626172326386,20.0,212.61475267561136,1256.6370659774598,1.6405459311389767e-05,9.696273657233487e-05,422059.94487457065,0.03256635377118602
4XMM J033237.4-275906,53.156034016955,-27.985232006332,1.9192516803741453,ECDFS,4XMMDR14,3.9860523464840126e-14,2.057075756028023,4.031868481814925,5063,24,True,True,False,6.112550726423154e+17,13,42,8.228303024112092,20.0,212.70144325818674,1256.6370659774598,1.6412148399551448e-05,9.696273657233487e-05,360022.20043128834,0.02777949077401917
4XMM J033355.5-280049,53.481441126487,-28.013765407590004,1.9194822311401367,ECDFS,4XMMDR14,4.751532538060195e-15,2.0573228629583458,4.032352811398358,5063,22,True,True,False,6.112549352033608e+17,9,52,8.229291451833383,20.0,212.75254944894152,1256.6370659774598,1.6416091778467713e-05,9.696273657233487e-05,533852.1562263016,0.04119229600511587
4XMM J033053.7-282315,52.72410916062001,-28.387669524857,1.9204357862472528,ECDFS,4XMMDR14,9.129620108137231e-15,2.058344894155684,4.034355992545141,4848,81,True,True,False,6.097815209026723e+17,7,32,8.233379576622736,20.0,212.9639783124359,1256.6370659774598,1.6432405733984253e-05,9.696273657233487e-05,310442.0376737649,0.023953860931617672
4XMM J032929.9-280930,52.37459029508601,-28.158527782008004,1.921940565109253,ECDFS,4XMMDR14,2.2226285143422085e-14,2.059957733236069,4.037517157142696,5063,18,True,True,False,6.112546603254444e+17,1,3,8.239830932944276,20.0,213.2978602206772,1256.6370659774598,1.6458168226904108e-05,9.696273657233487e-05,24843.310648140567,0.0019169221179120809
4XMM J033233.9-275644,53.14142368439201,-27.945646795139,1.922753095626831,ECDFS,4XMMDR14,5.726251466948345e-15,2.060828612676132,4.039224080845218,5063,24,True,True,True,6.11255072642318e+17,10,54,8.243314450704528,20.0,213.47824548630302,1256.6370659774598,1.647208684307894e-05,9.696273657233487e-05,546647.3453500689,0.042179579116517665
4XMM J033314.8-275742,53.312073558131,-27.961849092402,1.924524188041687,ECDFS,4XMMDR14,9.850193577465303e-15,2.0627268896481104,4.042944703710297,5063,23,True,True,True,6.112550039228407e+17,9,48,8.250907558592441,20.0,213.8716919269746,1256.6370659774598,1.6502445364735697e-05,9.696273657233487e-05,484711.1465129347,0.03740055142846719
4XMM J033109.7-280522,52.79048709823,-28.089498387216,1.9250833988189693,ECDFS,4XMMDR14,4.57308683651271e-15,2.063326258112508,4.044119465900515,5063,16,True,True,True,6.112545228865047e+17,6,39,8.253305032450031,20.0,213.9960147104077,1256.6370659774598,1.6512038172099362e-05,9.696273657233487e-05,410189.10533041926,0.03165039392981631
4XMM J033059.4-273921,52.747803427337,-27.655841522452,1.92563545703888,ECDFS,4XMMDR14,8.303697763027348e-15,2.063917960384651,4.045279202353916,5063,46,True,True,False,6.11256584470791e+17,8,35,8.255671841538604,20.0,214.11876453907314,1256.6370659774598,1.6521509609496386e-05,9.696273657233487e-05,335648.78383161925,0.025898825912933594
4XMM J033154.7-275053,52.97829354850501,-27.84830053804,1.928427815437317,ECDFS,4XMMDR14,4.072974444014775e-15,2.0669108418406394,4.051145250007653,5063,35,True,True,False,6.112558285565574e+17,8,62,8.267643367362558,20.0,214.74020038588782,1256.6370659774598,1.6569459906318507e-05,9.696273657233487e-05,671697.9608174963,0.05182854635937473
4XMM J033155.2-274827,52.980075883546,-27.807579210209,1.931972980499268,ECDFS,4XMMDR14,1.6859723888184674e-15,2.070710590031369,4.058592756461484,5063,35,True,True,False,6.112558285565615e+17,9,44,8.282842360125477,20.0,215.53047660390112,1256.6370659774598,1.6630438009560274e-05,9.696273657233487e-05,435690.25941228005,0.0336180755719352
