objectId,field_X,name_X,cat_X,F_X,ra_MIL,dec_MIL,RA_MIL,DEC_MIL,NAME_MIL,TYPE_MIL,RMAG_MIL,BMAG_MIL,COMMENT_MIL,R_MIL,B_MIL,Z_MIL,CITE_MIL,ZCITE_MIL,XNAME_MIL,RNAME_MIL,LOBE1_MIL,LOBE2_MIL,_dist_arcsec,otype_consolidated,F_opt,g_psfMag,i_psfMag,r_psfMag,u_psfMag,y_psfMag,z_psfMag,g_psfFlux,g_psfFluxErr,i_psfFlux,i_psfFluxErr,r_psfFlux,r_psfFluxErr,u_psfFlux,u_psfFluxErr,y_psfFlux,y_psfFluxErr,z_psfFlux,z_psfFluxErr,refExtendedness,near_bright_flag
611255691117606454,ECDFS,4XMM J033310.2-274842,4XMMDR14,9.887199599897898e-15,53.29249348560135,-27.81171781275209,53.292485,-27.811728,WCDFS J033310.20-274842.2,ARX ,23.13,24.63,d  ,n,n,1.034,RLAGN ,RLAGN ,CXOG J033310.1-274842 ,VLAJ033310.19-274841.6,RACS J033310.2-274842 ,NVSS J033310.2-274840 ,0.0004344449057938,AGN,7.713033526794015e-15,24.646578,23.039011,23.683275,24.703857,21.735338,22.244003,502.76913,10.154479,2210.0166,23.889328,1220.9285,13.669853,476.93277,90.028694,7342.8477,375.88904,4596.1997,50.617725,1.0,False
611255691117614071,ECDFS,2CXO J033325.0-274312,CSC2.1,1.046e-14,53.3545525321381,-27.720158784375474,53.3545298,-27.720135,ECDF-S 12                ,NX  ,22.29,24.59,n  ,n,n,0.521,1874  ,1874  ,CXOG J033325.0-274312 ,                      ,4XMM J033325.0-274312 ,                      ,7.661837053445214e-05,AGN,2.4763396220001897e-14,23.876802,21.39535,22.245068,24.945414,20.66302,20.945395,1021.59546,14.060703,10042.918,32.728092,4591.6924,19.94628,381.79868,101.88924,19714.791,508.50946,15199.944,69.54027,1.0,False
611255691117607171,ECDFS,2CXO J033326.3-274831,CSC2.1,8.679e-15,53.3596393954828,-27.80869897684984,53.359634,-27.808703,EIS J033326.32-274831.3  ,AX  ,23.93,24.03,D  ,n,n,0.564,1708  ,1708  ,CXOG J033326.4-274830 ,                      ,4XMM J033326.2-274834 ,                      ,0.0005398169932771,AGN,8.366806311123678e-15,23.41906,23.009272,23.433743,23.992762,22.678715,23.006145,1557.3129,11.408864,2271.3896,25.52544,1536.3962,14.461664,918.1121,88.563705,3079.743,419.8668,2277.9377,51.514217,1.0,False
611255691117615191,ECDFS,2CXO J033334.9-274208,CSC2.1,8.634e-14,53.3954995211802,-27.7024474439961,53.3955556,-27.7022223,ECDF-S 4                 ,KX  ,0.0,0.0,   ,x,x,2.011,1874  ,1874  ,CXOG J033334.9-274208 ,                      ,4XMM J033334.9-274208 ,LSXPS J033334.8-274206,0.0014566817944995,QSO,4.477527240764244e-15,24.532797,23.7582,24.276323,23.987143,23.554901,23.19292,558.31714,16.49028,1139.5146,32.46726,707.08405,23.692354,922.8752,115.78512,1374.1678,494.12976,1917.9269,72.608,1.0,False
611255691117615191,ECDFS,2CXO J033334.9-274208,CSC2.1,8.634e-14,53.3954995211802,-27.7024474439961,53.3955556,-27.7022223,ECDF-S 4                 ,KX  ,0.0,0.0,   ,x,x,2.011,1874  ,1874  ,CXOG J033334.9-274208 ,                      ,4XMM J033334.9-274208 ,LSXPS J033334.8-274206,0.0014566817944995,QSO,4.477527240764244e-15,24.532797,23.7582,24.276323,23.987143,23.554901,23.19292,558.31714,16.49028,1139.5146,32.46726,707.08405,23.692354,922.8752,115.78512,1374.1678,494.12976,1917.9269,72.608,1.0,False
611255691117615191,ECDFS,4XMM J033334.9-274208,4XMMDR14,1.1987738818101945e-13,53.3954995211802,-27.7024474439961,53.3955556,-27.7022223,ECDF-S 4                 ,KX  ,0.0,0.0,   ,x,x,2.011,1874  ,1874  ,CXOG J033334.9-274208 ,                      ,4XMM J033334.9-274208 ,LSXPS J033334.8-274206,0.0014566817944995,QSO,4.477527240764244e-15,24.532797,23.7582,24.276323,23.987143,23.554901,23.19292,558.31714,16.49028,1139.5146,32.46726,707.08405,23.692354,922.8752,115.78512,1374.1678,494.12976,1917.9269,72.608,1.0,False
611255691117615191,ECDFS,4XMM J033334.9-274208,4XMMDR14,1.1987738818101945e-13,53.3954995211802,-27.7024474439961,53.3955556,-27.7022223,ECDF-S 4                 ,KX  ,0.0,0.0,   ,x,x,2.011,1874  ,1874  ,CXOG J033334.9-274208 ,                      ,4XMM J033334.9-274208 ,LSXPS J033334.8-274206,0.0014566817944995,QSO,4.477527240764244e-15,24.532797,23.7582,24.276323,23.987143,23.554901,23.19292,558.31714,16.49028,1139.5146,32.46726,707.08405,23.692354,922.8752,115.78512,1374.1678,494.12976,1917.9269,72.608,1.0,False
611256309592891752,ECDFS,4XMM J033417.8-273932,4XMMDR14,4.179147398150965e-14,53.57384135189906,-27.65896585371365,53.573825,-27.6589477,ATLAS S606               ,KRX ,17.26,19.69,pN ,-,-,0.146,ATLAS ,ATLAS ,4XMM J033417.8-273932 ,RACS J033417.6-273934 ,                      ,                      ,0.0080926253551379,QSO,3.374384170800085e-13,20.170465,18.671696,19.2474,21.71868,18.062122,18.399107,31032.309,63.80442,123401.94,133.39084,72617.25,99.72291,7456.38,324.57782,216346.9,1612.9858,158619.75,392.47577,1.0,False
611256240873409069,ECDFS,4XMM J033440.9-274015,4XMMDR14,1.013565723321716e-14,53.671480169070605,-27.671662069644512,53.671495,-27.671663,WCDFS J033441.16-274018.1,AX  ,18.71,20.26,d  ,1,1,0.337,RLAGN ,RLAGN ,4XMM J033440.9-274015 ,                      ,                      ,                      ,0.0051924309921802,AGN,1.3188626593851208e-13,21.560566,19.416557,20.055037,23.020102,,19.13529,8625.291,66.69366,62140.887,145.78676,34513.215,139.87209,2248.8462,595.1465,,,80516.38,454.2538,1.0,False
611255759837091179,ECDFS,4XMM J033247.8-274233,4XMMDR14,4.3092428497065744e-14,53.19957764734356,-27.70918953300256,53.199519,-27.7091788,GALEX J033247.9-274232   ,QX  ,22.32,22.98,v  ,n,n,0.98,2158  ,2158  ,CXOG J033247.8-274233 ,                      ,4XMM J033247.8-274233 ,LSXPS J033248.1-274232,0.0016316721571699,QSO,2.633727488431476e-14,22.94946,21.613167,22.31576,23.356968,20.694265,21.001238,2400.0266,14.390447,8217.376,30.571524,4302.2524,19.80342,1648.969,114.672516,19155.521,440.92816,14437.919,56.9859,1.0,False
