name,ra,dec,e_pos_raw,field,cat,F,e_pos_1sig,e_pos_95,tract,patch,DP1_flag,obj_flag,dia_flag,objectId
2CXO J002406.0-720346,6.025083333333334,-72.06285,0.32,47Tuc,CSC2.1,1.772e-15,0.163265306122449,0.32,453,52,True,False,False,
2CXO J002407.2-720450,6.030291666666667,-72.08056388888889,0.32,47Tuc,CSC2.1,,0.163265306122449,0.32,453,52,True,False,False,
2CXO J002412.0-720512,6.050208333333334,-72.08679166666666,0.32,47Tuc,CSC2.1,1.151e-15,0.163265306122449,0.32,453,52,True,False,False,
2CXO J002350.7-720541,5.961291666666667,-72.0949111111111,0.32,47Tuc,CSC2.1,1.278e-15,0.163265306122449,0.32,453,52,True,False,False,
2CXO J002412.6-720441,6.052583333333334,-72.07808888888889,0.32,47Tuc,CSC2.1,7.386e-16,0.163265306122449,0.32,453,52,True,False,False,
2CXO J002434.0-720714,6.142,-72.12058611111111,0.32,47Tuc,CSC2.1,8.397e-15,0.163265306122449,0.32,453,52,True,False,False,
2CXO J002408.1-720447,6.034083333333334,-72.07992222222222,0.32,47Tuc,CSC2.1,7.893e-16,0.163265306122449,0.32,453,52,True,False,False,
2CXO J002407.0-720442,6.029458333333333,-72.07858333333333,0.32,47Tuc,CSC2.1,1.303e-15,0.163265306122449,0.32,453,52,True,False,False,
2CXO J002435.0-720501,6.146041666666667,-72.08382777777777,0.32,47Tuc,CSC2.1,5.725e-15,0.163265306122449,0.32,453,52,True,False,False,
2CXO J002416.5-720425,6.068875,-72.07366111111111,0.32,47Tuc,CSC2.1,6.968e-16,0.163265306122449,0.32,453,52,True,False,False,
2CXO J002403.1-720426,6.012958333333334,-72.07406388888889,0.32,47Tuc,CSC2.1,1.103e-15,0.163265306122449,0.32,453,52,True,False,False,
2CXO J002405.6-720504,6.023666666666667,-72.08449999999999,0.32,47Tuc,CSC2.1,1.054e-15,0.163265306122449,0.32,453,52,True,False,False,
2CXO J002359.4-720438,5.9975,-72.07739444444444,0.32,47Tuc,CSC2.1,5.014e-16,0.163265306122449,0.32,453,52,True,False,False,
2CXO J002405.0-720502,6.021208333333334,-72.08410555555555,0.32,47Tuc,CSC2.1,4.15e-16,0.163265306122449,0.32,453,52,True,False,False,
2CXO J002404.9-720454,6.020791666666667,-72.08166666666666,0.32,47Tuc,CSC2.1,1.466e-15,0.163265306122449,0.32,453,52,True,False,False,
2CXO J002405.0-720443,6.020833333333334,-72.07885,0.32,47Tuc,CSC2.1,6.789e-16,0.163265306122449,0.32,453,52,True,False,False,
2CXO J002359.3-720448,5.99725,-72.08008333333333,0.32,47Tuc,CSC2.1,6.586e-16,0.163265306122449,0.32,453,52,True,False,False,
2CXO J002409.2-720428,6.038333333333333,-72.0746861111111,0.32,47Tuc,CSC2.1,6.61e-16,0.163265306122449,0.32,453,52,True,False,False,
2CXO J002400.4-720448,6.001916666666667,-72.0800111111111,0.32,47Tuc,CSC2.1,4.648e-16,0.163265306122449,0.32,453,52,True,False,False,
2CXO J002401.4-720441,6.005916666666667,-72.07831388888889,0.32,47Tuc,CSC2.1,7.775e-16,0.163265306122449,0.32,453,52,True,False,False,
2CXO J002400.6-720554,6.002583333333334,-72.09843888888888,0.32,47Tuc,CSC2.1,2.306e-15,0.163265306122449,0.32,453,52,True,False,False,
2CXO J002409.8-720359,6.041041666666667,-72.06657777777778,0.32,47Tuc,CSC2.1,1.168e-15,0.163265306122449,0.32,453,52,True,False,False,
2CXO J002411.6-720503,6.048583333333334,-72.08439444444444,0.32,47Tuc,CSC2.1,7.018e-16,0.163265306122449,0.32,453,52,True,False,False,
2CXO J002410.9-720504,6.045916666666667,-72.0847,0.33,47Tuc,CSC2.1,4.522e-16,0.1683673469387755,0.33,453,52,True,False,False,
2CXO J002410.6-720529,6.044250000000001,-72.09145277777777,0.33,47Tuc,CSC2.1,6.885e-16,0.1683673469387755,0.33,453,52,True,False,False,
